Entidad,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
Oaxaca,1101585,1118235,1134174,1149428,1163941,1177603,1189864,1199796,1208369,1216369,1231653,1261348,1298163,1335791,1373880,1412268,1450843,1489531,1528100,1566444,1596261,1615203,1630952,1645441,1659090,1673686,1696262,1725807,1755604,1785221,1808875,1826296,1843034,1859521,1875522,1893594,1917781,1946758,1975476,2002490,2027080,2048104,2066669,2084165,2100216,2115182,2129709,2143863,2158643,2173835,2187926,2199289,2212646,2229390,2245888,2262026,2277782,2293142,2308090,2322612,2336708,2350365,2363580,2376326,2388572,2400327,2411555,2422253,2432410,2442008,2451051,2459542,2467465,2474842,2481661,2487918,2493619,2498767,2503345,2507368,2510841,2513771,2516154,2517994,2519303,2520083,2520341,2520078,2519310,2518030,2516243,2513940,2511156,2507878,2504114,2499882,2495165,2489994,2484362,2478294,2471790
Puebla,1365009,1401533,1439378,1477424,1515635,1553743,1590754,1626598,1662237,1697800,1736244,1780576,1828193,1876261,1924433,1972247,2019373,2065771,2111598,2157305,2201654,2244912,2288615,2332249,2375263,2418745,2468532,2523233,2576849,2629426,2675378,2715338,2755831,2797214,2838962,2881370,2923489,2966041,3007959,3047261,3087097,3128972,3170546,3210876,3249290,3286315,3323242,3360237,3398669,3438337,3474432,3504453,3539285,3580828,3622070,3662815,3702919,3742265,3780723,3818186,3854578,3889833,3923918,3956775,3988378,4018712,4047767,4075578,4102150,4127491,4151633,4174608,4196432,4217151,4236749,4255242,4272650,4288981,4304216,4318384,4331465,4343471,4354387,4364234,4372976,4380629,4387182,4392652,4397025,4400301,4402496,4403615,4403651,4402643,4400601,4397547,4393486,4388431,4382430,4375493,4367650
Querétaro,258386,268493,279332,290479,301804,313285,325006,336877,348833,360909,374337,390158,407321,424948,442963,461403,480134,499047,518150,537413,555730,572722,589389,605989,622572,639418,657654,677214,697103,717154,737147,757387,778078,799032,820180,841970,864660,888359,912380,936051,959372,981806,1003473,1024931,1045889,1071365,1103186,1136530,1170302,1204362,1233182,1255751,1279210,1304260,1328867,1352999,1376643,1399793,1422445,1444594,1466238,1487391,1508035,1528162,1547771,1566836,1585370,1603355,1620759,1637596,1653833,1669475,1684517,1698956,1712759,1725950,1738510,1750416,1761669,1772259,1782189,1791442,1800021,1807920,1815153,1821707,1827578,1832773,1837304,1841171,1844369,1846926,1848835,1850101,1850741,1850752,1850156,1848967,1847178,1844807,1841882
Quintana Roo,45823,50642,56033,61679,67589,73627,79886,86461,93261,100318,108851,119707,131910,144717,158053,171939,186242,200856,215846,231241,247591,265089,283211,301720,320540,339557,358597,377660,396809,416095,436159,457363,479258,501732,524747,548363,571098,593165,615709,638305,660479,681820,702684,723437,743945,769796,802839,837821,873709,910247,938969,959406,980407,1002034,1023222,1043930,1064149,1083895,1103155,1121933,1140219,1158032,1175360,1192209,1208586,1224494,1239940,1254917,1269410,1283425,1296959,1309999,1322554,1334603,1346148,1357180,1367693,1377680,1387134,1396043,1404411,1412231,1419498,1426209,1432368,1437970,1443024,1447526,1451489,1454909,1457794,1460154,1461983,1463314,1464130,1464444,1464281,1463640,1462521,1460938,1458911
San Luis Potosí,678719,695903,713651,731498,749425,767398,784497,801047,817743,834136,851501,870935,891435,911974,932425,952509,972184,991541,1010559,1029457,1047397,1064212,1080841,1097296,1113317,1128795,1143689,1157768,1170888,1183189,1196265,1211138,1226765,1242687,1258674,1274947,1291040,1307207,1323129,1337940,1352761,1368167,1383341,1397841,1411395,1422926,1432633,1441860,1451436,1461186,1470634,1479920,1491372,1504734,1517802,1530529,1542871,1554841,1566428,1577627,1588448,1598887,1608949,1618638,1627935,1636848,1645358,1653477,1661173,1668475,1675366,1681838,1687922,1693595,1698863,1703739,1708203,1712264,1715922,1719183,1722027,1724466,1726503,1728145,1729374,1730211,1730647,1730684,1730340,1729604,1728490,1727007,1725139,1722906,1720306,1717365,1714070,1710441,1706475,1702181,1697556
Sinaloa,652575,676289,701005,726397,752405,778839,805360,831889,858484,885294,910694,933563,955620,977915,1000290,1022505,1044271,1065455,1086254,1106915,1126775,1145721,1164688,1183690,1202388,1220298,1236059,1249577,1261834,1272980,1283656,1294971,1306873,1318909,1330926,1343815,1358421,1374489,1390251,1404587,1420930,1441683,1463797,1485098,1505404,1519561,1526743,1532684,1539218,1545793,1553605,1563054,1574236,1586580,1598286,1609431,1620082,1630252,1639902,1648997,1657519,1665481,1672892,1679784,1686160,1692017,1697346,1702135,1706371,1710054,1713186,1715782,1717849,1719402,1720430,1720957,1720979,1720507,1719535,1718079,1716146,1713724,1710829,1707480,1703666,1699412,1694717,1689584,1684041,1678079,1671727,1664992,1657887,1650401,1642561,1634375,1625852,1617009,1607847,1598374,1588605
Sonora,578528,595288,612318,629700,647397,665163,682749,700150,717369,734540,751888,769633,787775,806093,824447,842678,860605,878186,895542,912904,932094,953667,976119,998896,1021661,1043625,1062084,1077153,1091145,1104218,1119575,1138593,1158645,1178983,1199453,1220741,1244050,1269423,1294864,1319366,1343514,1367574,1391142,1414052,1436010,1452124,1461527,1469440,1477838,1486592,1496032,1506490,1518852,1532508,1545833,1558776,1571311,1583353,1594885,1605957,1616635,1626942,1636857,1646351,1655385,1663952,1672025,1679605,1686649,1693151,1699089,1704493,1709363,1713710,1717541,1720849,1723652,1725958,1727774,1729086,1729909,1730253,1730112,1729518,1728459,1726951,1724999,1722624,1719834,1716628,1713022,1709019,1704626,1699862,1694711,1689199,1683327,1677089,1670513,1663603,1656351
Tabasco,400218,412460,425017,437827,450864,464005,477037,489904,502638,515315,530594,550706,573450,596859,620791,645187,669968,695107,720614,746545,770898,793226,815405,837645,859832,881752,901703,919599,937100,954358,969642,983247,997144,1011312,1025492,1041001,1061346,1085879,1110520,1134525,1156851,1176289,1194114,1211679,1228648,1239278,1242234,1243056,1243570,1243543,1244307,1246696,1250630,1255453,1259869,1263918,1267581,1270888,1273860,1276484,1278785,1280780,1282461,1283821,1284878,1285605,1286017,1286090,1285826,1285221,1284253,1282941,1281279,1279258,1276874,1274134,1271033,1267574,1263762,1259617,1255123,1250304,1245155,1239696,1233935,1227875,1221530,1214909,1208020,1200884,1193512,1185904,1178068,1170023,1161774,1153339,1144714,1135928,1126986,1117884,1108639
Tamaulipas,769356,789780,810167,830945,852058,873233,894104,914553,934654,954557,974406,994279,1014272,1034273,1054163,1073832,1093094,1111894,1130303,1148489,1168702,1191509,1214911,1238291,1261400,1284346,1308889,1334608,1359558,1383748,1409081,1436884,1465946,1495649,1525712,1555542,1582510,1607729,1632709,1656349,1678742,1699430,1718536,1736652,1753503,1766917,1777244,1787044,1797246,1807648,1819108,1832339,1847183,1862666,1877634,1892098,1905934,1919049,1931408,1943096,1954256,1964922,1975075,1984641,1993584,2001899,2009585,2016637,2023000,2028651,2033586,2037820,2041374,2044243,2046440,2047961,2048821,2049012,2048553,2047437,2045687,2043274,2040226,2036555,2032292,2027416,2021969,2015950,2009387,2002308,1994712,1986601,1978008,1968956,1959450,1949502,1939131,1928357,1917174,1905628,1893706
Tlaxcala,220033,225917,232070,238175,244375,250721,256954,263087,269135,275118,282521,292620,304142,315923,327880,339959,352038,364101,376239,388531,400135,410864,421582,432400,443263,454147,464660,474645,484424,493997,504310,515800,527708,539831,552055,564288,575625,586405,597168,607541,618026,629043,640205,651172,661779,670682,677663,684178,690976,697867,704683,711365,719338,728668,737863,746890,755721,764348,772757,780922,788845,796534,803958,811130,818037,824706,831121,837294,843225,848922,854384,859622,864618,869396,873939,878257,882334,886166,889761,893117,896235,899098,901723,904104,906247,908130,909758,911158,912302,913195,913860,914283,914475,914435,914173,913698,912997,912091,910989,909686,908190
Veracruz,2024677,2090974,2159803,2230228,2302186,2375044,2447816,2520295,2592640,2665091,2732234,2789422,2841840,2893699,2944983,2995315,3044297,3091941,3138298,3183657,3228679,3274366,3320501,3365860,3409879,3451357,3486864,3516500,3543010,3566536,3593928,3628642,3665366,3702692,3740290,3780687,3827325,3879614,3931566,3980001,4028550,4078842,4127792,4174030,4216618,4240377,4242750,4239749,4237341,4235185,4231474,4224423,4221037,4222529,4222893,4222061,4219913,4216470,4211864,4206173,4199432,4191621,4182736,4172833,4161953,4150062,4137181,4123280,4108389,4092495,4075623,4057779,4038930,4019149,3998418,3976772,3954209,3930751,3906431,3881255,3855243,3828430,3800833,3772502,3743454,3713718,3683341,3652356,3620800,3588712,3556123,3523060,3489556,3455643,3421361,3386730,3351785,3316550,3281049,3245309,3209351
Yucatán,408645,420997,433906,447072,460470,474061,487585,500925,514174,527406,541444,556958,573374,590137,607223,624554,642077,659731,677381,694975,712104,728635,744834,760656,776146,791238,804839,817035,828920,840417,853760,869838,886586,903607,920796,937940,953195,967270,981559,995288,1009869,1026033,1042352,1058195,1073334,1090883,1112075,1134063,1156491,1179179,1198215,1213121,1228618,1244897,1260711,1276082,1291015,1305519,1319617,1333355,1346742,1359800,1372544,1384962,1397050,1408827,1420269,1431375,1442139,1452542,1462580,1472227,1481494,1490356,1498806,1506823,1514420,1521567,1528275,1534517,1540296,1545601,1550423,1554788,1558669,1562066,1564989,1567428,1569390,1570878,1571885,1572425,1572502,1572103,1571260,1569969,1568233,1566065,1563450,1560427,1556973
Zacatecas,499095,508397,517750,526962,536004,544806,553110,560350,567095,573900,581533,591149,601666,612033,622185,632031,641514,650543,659135,667323,674172,679405,683946,688046,691735,695155,698427,701406,703920,705944,708678,712643,716837,721016,725107,730136,738288,749072,759910,770119,779884,789264,798121,806435,814084,820031,824267,828046,832112,836268,840853,846076,852609,860258,867754,875033,882104,888932,895529,901890,908036,913965,919676,925156,930408,935415,940167,944656,948870,952814,956488,959886,963041,965931,968582,970980,973141,975047,976717,978146,979337,980308,981043,981550,981831,981906,981749,981380,980798,980011,979031,977849,976475,974900,973149,971206,969088,966787,964314,961689,958890
