Entidad,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
Oaxaca,1090777,1108865,1126452,1143399,1159582,1174915,1188936,1200629,1210795,1220287,1235537,1262421,1295024,1328291,1361946,1395747,1429623,1463541,1497260,1530741,1556827,1573467,1587199,1599672,1611236,1623209,1640109,1660880,1680802,1699347,1713709,1724751,1735679,1745364,1753083,1761243,1775394,1795091,1817528,1841886,1864920,1885701,1904364,1921511,1937294,1951856,1965669,1978997,1992706,2006395,2016519,2022049,2031892,2047379,2062655,2077351,2091215,2104183,2116235,2127486,2138076,2148179,2157928,2167482,2176950,2186394,2195819,2205105,2214098,2222600,2230405,2237419,2243616,2249013,2253726,2257862,2261544,2264900,2268022,2270998,2273839,2276519,2278986,2281106,2282757,2283840,2284284,2284082,2283262,2281887,2280044,2277813,2275275,2272475,2269484,2266296,2262886,2259209,2255185,2250765,2245880
Puebla,1357952,1393813,1430974,1468210,1505380,1542233,1577874,1612081,1645641,1678687,1713885,1753830,1796317,1839138,1882058,1924482,1966134,2007072,2047411,2087701,2127187,2166163,2205721,2245217,2283910,2322467,2365829,2412349,2456276,2497516,2533045,2564991,2598165,2630785,2661527,2690416,2717695,2745463,2777170,2811729,2848741,2890232,2932162,2972202,3010436,3047579,3084711,3121790,3159985,3198766,3230785,3254197,3285500,3326593,3367332,3407309,3446220,3483889,3520215,3555164,3588792,3621185,3652448,3682657,3711907,3740259,3767726,3794278,3819781,3844136,3867193,3888901,3909269,3928341,3946221,3963015,3978825,3993769,4007952,4021405,4034182,4046234,4057528,4067933,4077361,4085712,4092934,4099001,4103947,4107814,4110682,4112612,4113673,4113945,4113452,4112221,4110250,4107511,4103955,4099548,4094248
Querétaro,261522,271770,282787,294097,305535,317103,328901,340798,352702,364625,377603,392457,408368,424670,441333,458383,475678,493097,510665,528377,545465,561647,577573,593431,609217,625095,641223,657465,673573,689350,705994,724415,743622,762677,781263,799738,818737,838738,860415,883434,907590,933014,958471,983587,1008307,1035294,1065724,1097073,1128691,1160283,1186637,1206933,1229004,1253655,1277831,1301422,1324335,1346556,1368077,1388931,1409158,1428820,1447958,1466618,1484835,1502639,1520010,1536920,1553315,1569127,1584286,1598747,1612515,1625574,1637959,1649701,1660810,1671343,1681336,1690779,1699698,1708082,1715899,1723137,1729737,1735678,1740936,1745519,1749416,1752676,1755317,1757369,1758865,1759837,1760300,1760259,1759721,1758688,1757142,1755061,1752437
Quintana Roo,49898,55109,60913,67003,73379,79878,86627,93703,100993,108522,117709,129580,142968,156986,171568,186743,202334,218260,234592,251353,268639,286506,304862,323631,342671,361923,382077,402959,423694,444296,464940,486166,508118,530358,552669,575038,596099,616355,638050,660959,683108,703446,722674,741527,760054,785292,819468,855981,893348,931223,959272,977307,996754,1017572,1037909,1057708,1076933,1095596,1113691,1131222,1148213,1164668,1180631,1196105,1211104,1225655,1239774,1253425,1266614,1279320,1291521,1303202,1314350,1324969,1335059,1344623,1353669,1362206,1370245,1377780,1384812,1391333,1397350,1402855,1407846,1412310,1416230,1419639,1422528,1424913,1426814,1428237,1429206,1429724,1429811,1429477,1428746,1427615,1426090,1424159,1421859
San Luis Potosí,695299,712255,729733,747253,764700,782058,798461,814165,829746,844783,860554,878081,896448,914788,933021,950809,968138,985160,1001825,1018411,1034764,1050786,1066781,1082662,1098065,1112520,1124874,1134880,1143220,1149972,1158297,1169959,1182750,1195204,1206706,1217609,1229120,1241918,1256610,1272744,1288846,1304833,1320056,1334267,1347538,1358777,1368087,1376827,1385765,1394550,1401063,1405874,1414387,1426318,1438039,1449246,1459780,1469573,1478627,1487026,1494876,1502310,1509455,1516405,1523272,1530103,1536892,1543581,1550047,1556155,1561761,1566787,1571217,1575077,1578433,1581368,1583974,1586331,1588538,1590614,1592606,1594471,1596164,1597610,1598684,1599327,1599490,1599164,1598361,1597132,1595536,1593634,1591483,1589130,1586611,1583927,1581070,1577997,1574668,1571030,1567049
Sinaloa,682656,706830,731965,757742,784023,810583,837162,863606,889849,916015,940526,962306,983123,1004129,1025263,1046200,1066645,1086516,1105966,1125367,1144352,1162804,1181371,1200016,1218318,1235743,1251602,1265493,1277428,1287490,1296351,1305803,1316161,1325991,1334737,1343223,1352809,1363910,1376969,1391254,1407583,1427804,1448833,1468600,1487287,1500015,1505989,1510697,1515826,1520613,1526168,1533869,1544234,1556119,1567400,1578035,1587957,1597161,1605595,1613285,1620260,1626634,1632506,1637985,1643147,1648038,1652651,1656944,1660829,1664183,1666933,1669014,1670427,1671200,1671384,1671037,1670231,1669046,1667530,1665739,1663666,1661323,1658673,1655654,1652209,1648292,1643855,1638918,1633488,1627611,1621339,1614723,1607815,1600653,1593259,1585653,1577823,1569761,1561422,1552775,1543806
Sonora,587509,605361,623642,642300,661233,680234,699091,717712,736018,754141,772107,790029,808157,826499,844951,863295,881365,899154,916757,934466,953806,975144,997315,1019848,1042300,1063908,1083041,1099501,1114309,1127565,1142669,1161653,1182019,1202109,1221358,1240398,1261064,1283993,1309150,1335902,1360673,1381631,1399994,1417156,1433163,1447137,1459286,1470912,1482945,1495082,1506254,1517657,1532336,1549226,1565871,1581986,1597313,1611683,1625055,1637572,1649406,1660744,1671735,1682473,1693077,1703621,1714099,1724403,1734360,1743725,1752332,1760049,1766842,1772761,1777881,1782357,1786294,1789835,1793083,1796139,1799007,1801666,1804051,1806043,1807518,1808351,1808479,1807917,1806687,1804863,1802532,1799772,1796681,1793321,1789745,1785953,1781928,1777618,1772956,1767856,1762276
Tabasco,413814,426471,439443,452639,466040,479472,492770,505844,518663,531286,546442,566300,588636,611599,635095,659031,683314,707940,732923,758364,781923,803007,823802,844635,865318,885572,904019,920398,935807,950369,963048,974702,986923,998907,1010074,1021530,1036875,1056023,1076980,1099321,1120648,1139850,1157612,1174809,1191394,1201210,1202790,1202025,1200755,1198633,1196142,1195057,1196563,1199334,1201686,1203601,1205087,1206151,1206820,1207100,1207056,1206693,1206062,1205159,1204026,1202675,1201089,1199275,1197205,1194862,1192227,1189276,1186004,1182442,1178577,1174442,1170040,1165386,1160517,1155442,1150158,1144690,1139024,1133153,1127080,1120803,1114324,1107637,1100765,1093706,1086500,1079156,1071685,1064112,1056428,1048679,1040838,1032909,1024893,1016786,1008597
Tamaulipas,768208,788300,808378,828786,849388,869946,890121,909727,928716,947230,965853,985092,1004771,1024570,1044402,1064074,1083455,1102492,1121244,1139959,1160499,1183239,1206539,1229892,1252935,1275729,1300531,1326626,1351215,1374228,1398284,1425712,1455026,1484266,1512669,1539365,1560725,1578757,1599111,1621184,1643020,1664337,1684305,1702844,1720108,1733239,1742355,1750642,1759113,1767344,1776863,1789595,1805488,1822922,1839984,1856321,1871538,1885352,1897733,1908897,1919137,1928716,1937835,1946628,1955259,1963841,1972399,1980819,1988805,1996045,2002278,2007362,2011252,2014018,2015759,2016661,2016926,2016733,2016216,2015512,2014651,2013592,2012230,2010422,2007981,2004760,2000665,1995696,1989908,1983412,1976325,1968784,1960899,1952789,1944508,1936080,1927468,1918605,1909406,1899765,1889613
Tlaxcala,227696,233346,239232,245039,250856,256769,262547,268149,273560,278809,285493,294892,305677,316694,327868,339118,350359,361562,372819,384231,394980,404890,414790,424780,434774,444689,454337,463528,472221,480411,489069,498817,509049,519183,528950,538229,546292,553752,562087,571103,580814,591973,603607,614891,625854,634862,641565,647718,654045,660331,665267,669270,675682,684227,692634,700831,708794,716492,723918,731055,737927,744537,750913,757061,762996,768733,774278,779642,784803,789748,794473,798971,803241,807282,811102,814719,818133,821363,824407,827288,829992,832517,834847,836997,838931,840658,842162,843438,844497,845343,845988,846428,846687,846764,846664,846398,845966,845355,844575,843610,842480
Veracruz,2060598,2126628,2195118,2264979,2335986,2407502,2478675,2549040,2618508,2687301,2750512,2803650,2851647,2899065,2946124,2992170,3036927,3080517,3122871,3164523,3204571,3243438,3282403,3320487,3356877,3389643,3413422,3428047,3437336,3441348,3451802,3474280,3499801,3523977,3545408,3566885,3596569,3635200,3679735,3728161,3778330,3831501,3883256,3931420,3976040,3997519,3991789,3979155,3966457,3952897,3937813,3921761,3912196,3909055,3904834,3899214,3891900,3882869,3872281,3860354,3847278,3833163,3818208,3802576,3786467,3769921,3752976,3735556,3717553,3698828,3679213,3658662,3637130,3614691,3591453,3567515,3543017,3518069,3492791,3467252,3441500,3415530,3389298,3362729,3335736,3308247,3280223,3251695,3222695,3193311,3163624,3133728,3103689,3073597,3043481,3013378,2983260,2953107,2922861,2892475,2861894
Yucatán,411262,423892,437156,450673,464398,478269,492073,505634,519000,532218,546000,560912,576522,592460,608736,625249,641948,658790,675646,692498,709129,725477,741598,757340,772715,787659,801134,813017,824123,834349,846565,862146,878672,895027,910834,925597,936951,946219,957241,969528,983243,999260,1015644,1031289,1046196,1063331,1083796,1104892,1126271,1147667,1164908,1177681,1191783,1207481,1222689,1237379,1251521,1265109,1278167,1290751,1302928,1314739,1326227,1337446,1348411,1359156,1369684,1379973,1389969,1399618,1408877,1417705,1426098,1434036,1441536,1448626,1455305,1461614,1467559,1473151,1478391,1483275,1487775,1491879,1495533,1498732,1501443,1503687,1505462,1506777,1507641,1508105,1508163,1507863,1507202,1506192,1504828,1503104,1501010,1498529,1495661
Zacatecas,502389,511275,520206,528936,537410,545524,553090,559490,565217,570833,577121,585272,594273,603104,611729,620084,628043,635558,642632,649343,655237,660110,664441,668377,671882,674906,676494,676503,675664,673898,674005,677102,680798,684180,686937,690186,697055,707272,718823,731250,743483,755267,766308,776643,786369,793085,796339,798724,801278,803704,806185,809327,814958,822755,830498,837903,844794,851090,856792,861968,866743,871238,875578,879874,884228,888677,893209,897762,902209,906382,910148,913406,916141,918394,920225,921728,923014,924182,925294,926432,927607,928798,929948,930956,931737,932203,932281,932008,931380,930434,929267,927911,926454,924939,923391,921824,920214,918513,916683,914665,912420
